keys,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
loc_keys,english,french,schinese,japanese,korean,tchinese,russian,polish,spanish,brazilian,german,turkish,italian
CHAL_CHARACTER_DESC,Win a run with {0},Gagnez une partie avec {0},使用{0}赢一场比赛,{0} での疾走で勝利する,{0}와 함께 달리기에서 승리합니다,使用{0}贏一場比賽,Победите за персонажа по имени {0}.,Wygraj rozgrywkę z: {0},Gana una partida con {0},Vença uma partida com {0}.,Gewinne eine Runde mit {0},{0} ile bir koşu tamamla,Vinci una partita col personaggio {0}.
CHAL_CHARACTER_IN_ZONE_DESC,Win a run with {0} in {1},Gagnez une partie avec {0} dans {1},使用{0}在{1}赢一场比赛,{1} で {0} で1回クリアする,{1}에서 {0}와 함께 달리기에서 승리합니다,使用{0}在{1}贏一場比賽,Победите за персонажа по имени {0} в {1}.,Wygraj rozgrywkę z: {0} w {1},Gana una partida con {0} en {1},Vença uma partida com {0} em {1}.,Gewinne eine Runde mit {0} in {1},{1} bölgesinde {0} ile bir koşu tamamla,Vinci una partita col personaggio {0} in {1}.
CHAL_STAT_DESC,Reach {0} {1},Atteignez {0} {1},达到{0}{1},{0}{1} に達する,{0} {1}에 도달합니다,抵達{0}{1},Повысьте параметр «{1}» до {0}.,Osiągnij: {0} {1},Alcanza el {0} de {1},Alcance {0} de {1}.,Erreiche {0} {1},{1} özelliğini {0} seviyesine getir,Arriva a {0} {1}.
PICKUP_RANGE,% Pickup Range,% Portée d’attraction,%拾取范围,ピックアップ範囲%,% 획득 범위,%撿拾範圍,% дальности сбора,% zasięgu podnoszenia,% de alcance de recogida,% de alcance de coleta,% Sammelreichweite,% Toplama Menzili,% di raggio di raccolta
STAT_CURSE,Curse,Malédiction,诅咒,呪い状態,저주,詛咒,Проклятие,Klątwa,Maldición,Maldição,Fluch,Lanet,Maledizione
INFO_POS_STAT_CURSE,"Enemies have a {0} chance of being cursed. Enemies become stronger and drop more materials when cursed. Items and weapons you find also have a {1} chance of being cursed, making them more powerful.","Les ennemis ont {0} de chances d'être maudits. Les ennemis deviennent plus forts et lâchent plus de matériaux lorsqu'ils sont maudits. Les objets et les armes que vous trouvez ont également {1} de chances d'être maudits, ce qui les rend plus puissants.",敌人有{0}的几率被诅咒。被诅咒的敌人会变得更强，并掉落更多材料。你找到的道具和武器也有{1}的几率被诅咒，从而使它们更加强大。,敵は {0} の確率で、呪い状態になる可能性があります。敵は呪い状態になると強くなり、より多くの素材をドロップします。拾ったアイテムや武器は {1} の確率で呪い状態になり、より強力なものになります。,"적이 {0} 확률로 저주에 걸립니다. 적이 저주에 걸리면 더 강해지며 더 많은 재료를 떨어뜨립니다. 발견한 아이템과 무기 또한 {1} 확률로 저주에 걸리며, 더 강력해집니다.",敵人有{0}的機會被詛咒。敵人被詛咒時會變得更強大並且掉落更多素材。你發現的道具和武器也有{1}的機會被詛咒，使得威力變得更強大。,"Шанс проклясть врага: {0}. Проклятые враги сильнее обычных, зато из них выпадает больше материалов. Шанс, что выпадающие предметы и оружие прокляты: {1}. Проклятые предметы и оружие сильнее обычных.","Szansa przeciwników na zostanie przeklętymi: {0}. Przeklęci wrogowie stają się silniejsi i upuszczają więcej materiałów. Szansa na to, aby znalezione przedmioty i bronie również były przeklęte: {1}. Czyni je to potężniejszymi.","Los enemigos tienen un {0} de probabilidad de sufrir una maldición. Teniendo una maldición, los enemigos se vuelven más fuertes y dan más materiales al derrotarlos. Los objetos y las armas que encuentres también tienen un {1} de probabilidad de sufrirla, por lo que también se vuelven más fuertes.","Inimigos têm {0} de chance de serem amaldiçoados, tornando-se mais fortes e deixando mais materiais. Armas e itens encontrados têm {1} de chance de serem amaldiçoados, tornando-se mais poderosos.",Gegner können zu {0} verflucht werden. Verfluchte Gegner sind stärker und lassen mehr Materialien fallen. Gegenstände und Waffen können ebenfalls zu {1} verflucht werden und somit mächtiger sein.,"Düşmanlar {0} ihtimalle lanetlidir. Düşmanlar lanetliyken güçlenir ve daha fazla malzeme düşürür. Bulduğun eşyalar ve silahlar da {1} ihtimalle lanetli olabilir, onlar da daha güçlü olurlar.","{0} di probabilità che i nemici vengano maledetti, diventando più forti e generando più materiali. {1} di probabilità che gli oggetti e le armi che trovi siano maledetti, diventando più potenti."
INFO_NEG_STAT_CURSE,"Enemies have a 0% chance of being cursed. Enemies become stronger and drop more materials when cursed. Items and weapons you find also have a 0% chance of being cursed, making them more powerful.","Les ennemis ont 0% de chances d'être maudits. Les ennemis deviennent plus forts et lâchent plus de matériaux lorsqu'ils sont maudits. Les objets et les armes que vous trouvez ont également 0% de chances d'être maudits, ce qui les rend plus puissants.",敌人有0%的几率被诅咒。被诅咒的敌人会变得更强，并掉落更多材料。你找到的道具和武器也有0%的几率被诅咒，从而使它们更加强大。,敵は0%の確率で、呪い状態になる可能性があります。敵は呪い状態になると強くなり、より多くの素材をドロップします。拾ったアイテムや武器は0%の確率で呪い状態になり、より強力なものになります。,"적이 0% 확률로 저주에 걸립니다. 적이 저주에 걸리면 더 강해지며 더 많은 재료를 떨어뜨립니다. 발견한 아이템과 무기 또한 0% 확률로 저주에 걸리며, 더 강력해집니다.",敵人有0%的機會被詛咒。敵人被詛咒時會變得更強大並且掉落更多素材。你發現的道具和武器也有0%的機會被詛咒，使得威力變得更強大。,"Шанс проклясть врага: 0%. Проклятые враги сильнее обычных, зато из них выпадает больше материалов. Шанс, что выпадающие предметы и оружие прокляты: 0%. Проклятые предметы и оружие сильнее обычных.","Szansa przeciwników na zostanie przeklętymi: 0%. Przeklęci wrogowie stają się silniejsi i upuszczają więcej materiałów. Szansa na to, aby znalezione przedmioty i bronie również były przeklęte: 0%. Czyni je to potężniejszymi.","Los enemigos tienen un 0 % de probabilidad de sufrir una maldición. Teniendo una maldición, los enemigos se vuelven más fuertes y dan más materiales al derrotarlos. Los objetos y las armas que encuentres también tienen un 0 % de probabilidad de sufrirla, por lo que también se vuelven más fuertes.","Inimigos têm 0% de chance de serem amaldiçoados, tornando-se mais fortes e deixando mais materiais. Armas e itens encontrados têm 0% de chance de serem amaldiçoados, tornando-se mais poderosos.",Gegner können zu 0% verflucht werden. Verfluchte Gegner sind stärker und lassen mehr Materialien fallen. Gegenstände und Waffen können ebenfalls zu 0% verflucht werden und somit mächtiger sein.,"Düşmanlar %0 ihtimalle lanetlidir. Düşmanlar lanetliyken güçlenir ve daha fazla malzeme düşürür. Bulduğun eşyalar ve silahlar da %0 ihtimalle lanetli olabilir, onlar da daha güçlü olurlar.","0% di probabilità che i nemici vengano maledetti, diventando più forti e generando più materiali. 0% di probabilità che gli oggetti e le armi che trovi siano maledetti, diventando più potenti."
REROLL_PRICE,% Reroll Price,% Prix de Randomisation,%刷新价格,リロール価格%,% 초기화 가격,%重骰價格,% цены замены,koszt przerzucenia %,% de precio de repeticiones,% do preço de renovação,"% ""Neu würfeln""-Preis",% Yenileme Fiyatı,% prezzo cambi
STEPS_TAKEN,Steps taken: {0},Pas : {0},已走步数：{0},歩数：{0},걸음 수: {0},需要走的步數：{0},Шагов пройдено: {0},Zrobione kroki: {0},Pasos dados: {0},Passos dados: {0},Schrittzahl: {0},Atılan adım: {0},Passi compiuti: {0}
